City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,yellowknife,CA,43.32,few clouds,62.456,-114.3525,The Explorer Hotel
2,ushuaia,AR,44.26,few clouds,-54.8,-68.3,Albatross Hotel
3,concordia,AR,68.79,scattered clouds,-31.393,-58.0209,Palmar Hotel Casino
4,klaksvik,FO,45.52,overcast clouds,62.2266,-6.589,Airbnb rooms
7,rikitea,PF,76.3,few clouds,-23.1203,-134.9692,People ThankYou
8,bambous virieux,MU,75.45,broken clouds,-20.3428,57.7575,Casa Tia Villa
9,seoul,KR,46.0,mist,37.5683,126.9778,롯데호텔 서울
12,codrington,AU,58.89,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
13,miyako,JP,42.64,clear sky,39.6367,141.9525,Hotel Route Inn Miyako
15,yulara,AU,58.84,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
16,bluff,NZ,44.8,few clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
18,bredasdorp,ZA,56.68,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
19,grand river south east,ZA,56.68,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
21,barroquinha,BR,78.91,broken clouds,-3.0189,-41.1361,Pousada barroquinha
23,namibe,AO,74.46,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
24,ribeira grande,PT,64.8,broken clouds,38.5167,-28.7,Quinta da Meia Eira
25,lagoa,PT,62.67,few clouds,39.05,-27.9833,Casa Das Faias
26,castro,BR,67.08,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
28,ciro marina,IT,60.19,scattered clouds,39.3732,17.126,Hotel Miramare
29,busselton,AU,57.61,scattered clouds,-33.65,115.3333,Observatory Guest House
30,mataura,NZ,44.47,clear sky,-46.1927,168.8643,Ellie's Villa
34,chifeng,CN,43.77,overcast clouds,42.2683,118.9636,Junyu Tiancheng Hotel
35,karpathos,GR,62.56,overcast clouds,35.507,27.2132,Alex
42,punta arenas,CL,50.11,clear sky,-53.15,-70.9167,Hotel Hain
43,isangel,VU,79.25,overcast clouds,-19.55,169.2667,Tanna Lodge
