City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,yellowknife,CA,2022-05-01 19:57:03,62.456,-114.3525,43.32,49,20,16.11,few clouds
1,ostrovnoy,RU,2022-05-01 19:57:04,68.0531,39.5131,18.64,89,80,7.85,broken clouds
2,ushuaia,AR,2022-05-01 19:57:04,-54.8,-68.3,44.26,70,20,20.71,few clouds
3,concordia,AR,2022-05-01 19:57:05,-31.393,-58.0209,68.79,60,30,8.01,scattered clouds
4,klaksvik,FO,2022-05-01 19:57:05,62.2266,-6.589,45.52,77,88,23.06,overcast clouds
5,khatanga,RU,2022-05-01 19:57:06,71.9667,102.5,13.14,91,97,9.98,overcast clouds
6,karachi,PK,2022-05-01 19:52:10,24.9056,67.0822,87.62,35,80,13.8,broken clouds
7,rikitea,PF,2022-05-01 19:57:06,-23.1203,-134.9692,76.3,73,14,6.89,few clouds
8,bambous virieux,MU,2022-05-01 19:49:22,-20.3428,57.7575,75.45,88,75,3.44,broken clouds
9,seoul,KR,2022-05-01 19:55:07,37.5683,126.9778,46.0,90,20,2.3,mist
10,thinadhoo,MV,2022-05-01 19:57:07,0.5333,72.9333,85.71,73,99,18.25,overcast clouds
11,tuktoyaktuk,CA,2022-05-01 19:57:07,69.4541,-133.0374,35.6,75,0,8.05,clear sky
12,codrington,AU,2022-05-01 19:48:04,-38.2667,141.9667,58.89,82,100,8.46,overcast clouds
13,miyako,JP,2022-05-01 19:57:08,39.6367,141.9525,42.64,90,5,4.68,clear sky
14,albany,US,2022-05-01 19:57:08,42.6001,-73.9662,69.46,26,100,1.99,overcast clouds
15,yulara,AU,2022-05-01 19:57:09,-25.2406,130.9889,58.84,72,100,5.75,overcast clouds
16,bluff,NZ,2022-05-01 19:57:09,-46.6,168.3333,44.8,85,14,10.07,few clouds
17,hithadhoo,MV,2022-05-01 19:47:48,-0.6,73.0833,85.66,70,100,15.61,overcast clouds
18,bredasdorp,ZA,2022-05-01 19:57:09,-34.5322,20.0403,56.68,93,0,4.09,clear sky
19,grand river south east,ZA,2022-05-01 19:57:09,-34.5322,20.0403,56.68,93,0,4.09,clear sky
20,ola,RU,2022-05-01 19:57:10,59.5833,151.2833,32.61,77,59,2.42,broken clouds
21,barroquinha,BR,2022-05-01 19:57:10,-3.0189,-41.1361,78.91,92,80,4.5,broken clouds
22,barrow,US,2022-05-01 19:57:11,71.2906,-156.7887,21.36,92,100,12.55,overcast clouds
23,namibe,AO,2022-05-01 19:48:05,-15.1961,12.1522,74.46,66,9,8.79,clear sky
24,ribeira grande,PT,2022-05-01 19:57:11,38.5167,-28.7,64.8,82,75,4.61,broken clouds
25,lagoa,PT,2022-05-01 19:57:12,39.05,-27.9833,62.67,73,13,1.57,few clouds
26,castro,BR,2022-05-01 19:44:08,-24.7911,-50.0119,67.08,84,39,4.76,scattered clouds
27,deltona,US,2022-05-01 19:54:12,28.9005,-81.2637,87.98,61,40,11.5,scattered clouds
28,ciro marina,IT,2022-05-01 19:57:12,39.3732,17.126,60.19,70,48,5.97,scattered clouds
29,busselton,AU,2022-05-01 19:57:13,-33.65,115.3333,57.61,85,32,0.2,scattered clouds
30,mataura,NZ,2022-05-01 19:57:13,-46.1927,168.8643,44.47,98,7,2.84,clear sky
31,touros,BR,2022-05-01 19:57:14,-5.1989,-35.4608,81.91,76,95,14.29,overcast clouds
32,illoqqortoormiut,BR,2022-05-01 19:57:14,-5.1989,-35.4608,81.91,76,95,14.29,overcast clouds
33,chokurdakh,RU,2022-05-01 19:57:14,70.6333,147.9167,19.8,99,82,10.6,broken clouds
34,chifeng,CN,2022-05-01 19:48:10,42.2683,118.9636,43.77,28,87,1.72,overcast clouds
35,karpathos,GR,2022-05-01 19:57:15,35.507,27.2132,62.56,82,100,31.07,overcast clouds
36,petrovsk,RU,2022-05-01 19:57:15,52.3064,45.3917,39.97,55,5,4.43,clear sky
37,sasaram,IN,2022-05-01 19:57:15,24.951,84.0149,86.14,42,98,8.63,overcast clouds
38,grand-santi,GF,2022-05-01 19:57:16,4.25,-54.3833,81.27,76,92,4.25,overcast clouds
39,butaritari,KI,2022-05-01 19:57:16,3.0707,172.7902,81.57,77,72,12.88,broken clouds
40,manggar,ID,2022-05-01 19:57:17,-2.8833,108.2667,81.86,80,99,6.13,overcast clouds
41,sorvag,ID,2022-05-01 19:57:17,-2.8833,108.2667,81.86,80,99,6.13,overcast clouds
42,punta arenas,CL,2022-05-01 19:57:17,-53.15,-70.9167,50.11,66,0,13.8,clear sky
43,isangel,VU,2022-05-01 19:57:18,-19.55,169.2667,79.25,88,93,7.34,overcast clouds
44,souillac,MU,2022-05-01 19:57:18,-20.5167,57.5167,75.58,88,75,3.44,broken clouds
